weapon_type,weapon_type_description,firearm_make,firearm_model,firearm_barrel_length,firearm_caliber,total_number_of_shots,firearm_reloaded,number_of_cartridge_reloaded,handgun_worn_type,handgun_drawn_type,method_used_to_reload,sight_used,protective_cover_used,discharge_distance,object_struck_of_discharge,discharge_position,trr_id
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,98518
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,98524
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,98544
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,98547
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,98562
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,98566
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,98573
CHEMICAL WEAPON,,,,,,,True,,,,,True,,,,,98575
CHEMICAL WEAPON,,,,,,,True,,,,,True,,,,,98576
TASER (DRIVE STUN MODE),,,,,,,True,,,,,True,,,,,98584
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,98593
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,98595
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,98602
OTHER (SPECIFY),,,,,,,True,,,,,True,,,,,98603
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,98622
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,98623
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,98626
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,98658
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,98662
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,98664
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,98665
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,98668
SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,19,4, 9 MM,2.0,True,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,True,VEHICLE,OVER 15FT,NONE,SITTING,98671
SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,23,4,40 S&W,13.0,True,14.0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,EMERGENCY RELOAD,True,SQUAD CAR,OVER 15FT,OBJECT,SITTING,98675
