id,unit_name,description,tags,active,created_at,updated_at,cnt,rank
161,215,Deputy Chief Area 5,"",false,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
162,216,Deputy Chief Central Control Group,"",false,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
163,222,Timekeeping Unit - Headquarters,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
164,231,Medical Section,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
165,241,Troubled Building Unit,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
166,242,Fleet Section,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
167,251,Crime Lab Fed Grant,"",false,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
168,253,Targeted Response Unit,"",false,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
169,261,Court Section,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
243,263,Juvenile Court Unit,"",,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
259,271,,"",,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
260,272,,"",,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
261,273,,"",,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
262,274,,"",,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
263,275,,"",,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
170,276,Oemc - Detail Section,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
171,277,Forensic Services Evidence Technician Section,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
172,284,Admin School Securit,"",false,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
173,311,Gang Enforcement - Area Central,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
174,312,Gang Enforcement - Area South,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
175,313,Gang Enforcement - Area North,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
176,314,Gang Section - Area 4,"",false,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
177,315,Gang Section - Area 5,"",false,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
178,341,Canine Unit,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
179,353,Special Weapons And Tactics (Swat) Unit,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
180,376,Alternate Response Section,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
181,377,Forensic Services Unit - Et North,"",false,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
182,384,Juvenile Intervention Support Center (Jisc),"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
183,393,Gang Enforcement Division,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
184,411,Area Central Deputy Chief - Bureau Of Patrol,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
185,412,Area South Deputy Chief - Bureau Of Patrol,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
186,413,Area North Deputy Chief - Bureau Of Patrol,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
187,427,Domestic Viol Advoc,"",false,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
188,441,Special Activities Section,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
189,442,Bomb Squad,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
190,443,Bomb Unit - O'Hare Airport,"",false,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
191,477,Forensic Services Unit - Et South,"",false,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
192,541,Fop Detail,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
193,542,Detached Services - Goverment Security,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
194,543,Detached Services - Miscellaneous Detail,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
195,544,Chg Ptl Credit Union,"",false,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
244,545,Pbpa Sergeant,"",,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
196,547,Chicago Police Memorial Foundation,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
197,549,Inspector General Detail Unit,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
198,601,Det Div Admin.,"",false,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
199,602,Central Auto Theft,"",false,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
200,603,Arson Section,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,2,1
202,604,Bomb And Arson Section - O'Hare Airport,"",false,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
203,605,Fbi Violent Crimes Task Force,"",false,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
204,606,Central Investigations Division,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
205,607,Cold Case Unit,"",false,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
206,608,Major Accident Investigation Unit,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
207,609,Financial Crimes Investigation Unit,"",false,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
208,610,Detective Area - Central,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
209,611,Predictive Analytics Group,"",false,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,2,1
